component;action;target;objectid;contextid;contextlevel;contextinstanceid;userid;courseid;timecreated
mod_page;viewed;course_module;7027;212936;70;95231;17;1489;1550343718
mod_resource;viewed;course_module;32534;213483;70;95760;10746;1489;1550349523
mod_resource;viewed;course_module;32532;213481;70;95758;10746;1489;1550349602
mod_resource;viewed;course_module;32534;213483;70;95760;10746;1489;1550349773
mod_resource;viewed;course_module;32280;212944;70;95239;10746;1489;1550352803
mod_resource;viewed;course_module;32281;212946;70;95241;10746;1489;1550352808
mod_resource;viewed;course_module;32282;212948;70;95243;10746;1489;1550352820
mod_resource;viewed;course_module;32283;212950;70;95245;10746;1489;1550352823
mod_url;viewed;course_module;5704;212945;70;95240;10746;1489;1550353448
mod_resource;viewed;course_module;32534;213483;70;95760;7;1489;1550359027
mod_resource;viewed;course_module;32534;213483;70;95760;21142;1489;1550430722
mod_resource;viewed;course_module;32532;213481;70;95758;21142;1489;1550430723
mod_resource;viewed;course_module;32533;213482;70;95759;21142;1489;1550430724
mod_book;viewed;course_module;6348;212921;70;95216;7;1489;1550438965
mod_book;viewed;chapter;41278;212921;70;95216;7;1489;1550438965
mod_book;viewed;chapter;41279;212921;70;95216;7;1489;1550438975
mod_book;viewed;chapter;41280;212921;70;95216;7;1489;1550438992
mod_book;viewed;course_module;6349;212924;70;95219;7;1489;1550439004
mod_book;viewed;chapter;41283;212924;70;95219;7;1489;1550439004
mod_book;viewed;chapter;41284;212924;70;95219;7;1489;1550439011
mod_book;viewed;chapter;41285;212924;70;95219;7;1489;1550439012
mod_book;viewed;chapter;41284;212924;70;95219;7;1489;1550439016
mod_url;viewed;course_module;5697;212920;70;95215;7;1489;1550439027
mod_resource;viewed;course_module;32534;213483;70;95760;7;1489;1550439138
mod_resource;viewed;course_module;32532;213481;70;95758;7;1489;1550439143
mod_resource;viewed;course_module;32533;213482;70;95759;7;1489;1550439146
mod_book;viewed;course_module;6350;212938;70;95233;7;1489;1550439149
mod_book;viewed;chapter;41286;212938;70;95233;7;1489;1550439149
mod_resource;viewed;course_module;32534;213483;70;95760;14578;1489;1550483222
mod_book;viewed;course_module;6348;212921;70;95216;14578;1489;1550485564
mod_book;viewed;chapter;41278;212921;70;95216;14578;1489;1550485564
mod_book;viewed;chapter;41279;212921;70;95216;14578;1489;1550485568
mod_resource;viewed;course_module;32533;213482;70;95759;14578;1489;1550486135
mod_resource;viewed;course_module;32651;213925;70;95961;14578;1489;1550563992
mod_assign;viewed;course_module;6135;213017;70;95312;17;1489;1550564609
mod_resource;viewed;course_module;32650;213924;70;95960;17;1489;1550564806
mod_resource;viewed;course_module;32651;213925;70;95961;10746;1489;1550565037
mod_resource;viewed;course_module;32650;213924;70;95960;21262;1489;1550566806
mod_resource;viewed;course_module;32650;213924;70;95960;21262;1489;1550566810
mod_book;viewed;chapter;41278;212921;70;95216;21349;1489;1550573859
mod_resource;viewed;course_module;32651;213925;70;95961;14578;1489;1550597679
mod_resource;viewed;course_module;32651;213925;70;95961;14578;1489;1550598688
mod_book;viewed;course_module;6350;212938;70;95233;14578;1489;1550602389
mod_book;viewed;chapter;41286;212938;70;95233;14578;1489;1550602389
mod_resource;viewed;course_module;32532;213481;70;95758;21158;1489;1550610395
mod_resource;viewed;course_module;32651;213925;70;95961;14578;1489;1550655040
mod_resource;viewed;course_module;32532;213481;70;95758;18232;1489;1550678700
mod_resource;viewed;course_module;32650;213924;70;95960;21262;1489;1550680854
mod_book;viewed;chapter;41278;212921;70;95216;21262;1489;1550680773
mod_book;viewed;chapter;41279;212921;70;95216;21262;1489;1550680778
mod_book;viewed;chapter;41280;212921;70;95216;21262;1489;1550680817
mod_book;viewed;chapter;41281;212921;70;95216;21262;1489;1550680819
mod_book;viewed;chapter;41282;212921;70;95216;21262;1489;1550680820
mod_resource;viewed;course_module;32650;213924;70;95960;21262;1489;1550680853
mod_resource;viewed;course_module;32650;213924;70;95960;21262;1489;1550683548
mod_resource;viewed;course_module;32650;213924;70;95960;21262;1489;1550683549
mod_resource;viewed;course_module;32651;213925;70;95961;21262;1489;1550689686
mod_resource;viewed;course_module;32651;213925;70;95961;21262;1489;1550689688
mod_resource;viewed;course_module;32651;213925;70;95961;7;1489;1550702307
mod_resource;viewed;course_module;32650;213924;70;95960;21349;1489;1550728097
mod_resource;viewed;course_module;32650;213924;70;95960;21349;1489;1550728100
mod_resource;viewed;course_module;32532;213481;70;95758;21349;1489;1550728638
mod_resource;viewed;course_module;32532;213481;70;95758;21349;1489;1550728642
mod_book;viewed;chapter;41278;212921;70;95216;21349;1489;1550728663
mod_book;viewed;chapter;41279;212921;70;95216;21349;1489;1550728672
mod_resource;viewed;course_module;32650;213924;70;95960;18170;1489;1550731138
mod_book;viewed;course_module;6348;212921;70;95216;21199;1489;1550731184
mod_book;viewed;chapter;41278;212921;70;95216;21199;1489;1550731184
mod_resource;viewed;course_module;32650;213924;70;95960;19910;1489;1550731188
mod_forum;viewed;course_module;5186;212922;70;95217;21314;1489;1550731190
mod_forum;viewed;course_module;5186;212922;70;95217;18170;1489;1550731322
mod_book;viewed;course_module;6348;212921;70;95216;18170;1489;1550731332
mod_book;viewed;chapter;41278;212921;70;95216;18170;1489;1550731332
mod_resource;viewed;course_module;32532;213481;70;95758;21349;1489;1550733381
mod_resource;viewed;course_module;32532;213481;70;95758;21139;1489;1550733410
mod_resource;viewed;course_module;32532;213481;70;95758;21471;1489;1550737624
mod_resource;viewed;course_module;32650;213924;70;95960;21318;1489;1550737627
mod_resource;viewed;course_module;32649;213923;70;95959;21318;1489;1550737672
mod_resource;viewed;course_module;32650;213924;70;95960;18464;1489;1550737672
mod_resource;viewed;course_module;32650;213924;70;95960;19925;1489;1550737679
mod_resource;viewed;course_module;32532;213481;70;95758;21823;1489;1550737807
mod_resource;viewed;course_module;32532;213481;70;95758;19925;1489;1550738630
mod_resource;viewed;course_module;32651;213925;70;95961;18464;1489;1550739617
mod_resource;viewed;course_module;32651;213925;70;95961;21349;1489;1550739940
mod_resource;viewed;course_module;32651;213925;70;95961;7;1489;1550740973
mod_resource;viewed;course_module;32648;213922;70;95958;7;1489;1550740977
mod_resource;viewed;course_module;32649;213923;70;95959;7;1489;1550740981
mod_book;viewed;course_module;6348;212921;70;95216;21139;1489;1550741781
mod_book;viewed;chapter;41278;212921;70;95216;21139;1489;1550741781
mod_resource;viewed;course_module;32532;213481;70;95758;21139;1489;1550741842
